Dataset,Agent,Query_Size,Gallery_Size,Trials,Rank-1_Acc,Avg_Time_sec,Total_Time_sec,Avg_Tokens,Total_Tokens
PKUSketch,listwise,1,5,50,0.5800,10.02,501.14,5985.4,299270
PKUSketch,listwise,1,10,50,0.5600,11.54,577.10,7066.4,353322
PKUSketch,listwise,1,15,50,0.2400,12.13,606.45,6809.4,340470
PKUSketch,listwise,1,20,50,0.3000,12.79,639.42,6342.7,317135
PKUSketch,listwise,1,30,50,0.0200,14.94,746.90,6745.7,337283
PKUSketch,listwise,1,50,50,0.0000,16.25,812.25,6500.7,325036
PKUSketch,listwise,1,100,50,0.0000,13.83,691.68,5453.6,272682
PKUSketch,tournament,1,5,50,0.5800,10.12,506.14,5995.9,299795
PKUSketch,tournament,1,10,50,0.7400,22.49,1124.26,13214.8,660742
PKUSketch,tournament,1,15,50,0.5400,35.36,1768.25,20179.6,1008980
PKUSketch,tournament,1,20,50,0.7000,47.23,2361.33,27140.7,1357036
PKUSketch,tournament,1,30,50,0.6200,69.89,3494.66,40797.4,2039869
PKUSketch,tournament,1,50,50,0.5200,120.35,6017.59,65902.4,3295121
PKUSketch,tournament,1,100,50,0.3200,232.27,11613.45,128020.3,6401017
PKUSketch,pairwise,1,5,50,0.4800,29.85,1492.63,28810.4,1440520
PKUSketch,pairwise,1,10,50,0.5800,62.06,3102.98,57907.5,2895377
PKUSketch,pairwise,1,15,50,0.5000,91.27,4563.66,86731.0,4336550
PKUSketch,pairwise,1,20,50,0.5400,122.23,6111.67,115706.0,5785300
PKUSketch,pairwise,1,30,50,0.5400,181.73,9086.69,173421.5,8671075
PKUSketch,pairwise,1,50,50,0.5200,309.23,15461.70,289653.8,14482692
PKUSketch,pairwise,1,100,50,0.3200,629.77,31488.28,580445.2,29022259
